Vis,U,V,W
 (9.847614914178848267e-02+-5.047069498687051237e-05j), (-1.871975657715116540e+04+0.000000000000000000e+00j), (6.502774780649776858e+02+0.000000000000000000e+00j), (-1.279513378076703702e+03+0.000000000000000000e+00j)
 (-1.121311858296394348e-01+5.530386624741367996e-05j), (-2.190789334599749418e+04+0.000000000000000000e+00j), (1.290803318847134278e+03+0.000000000000000000e+00j), (-2.609687850933966729e+03+0.000000000000000000e+00j)
 (3.897511065006256104e-01+-4.769151564687490463e-05j), (-2.545126723311262685e+04+0.000000000000000000e+00j), (2.019118793874770518e+03+0.000000000000000000e+00j), (-3.912304678988147316e+03+0.000000000000000000e+00j)
 (2.376462705433368683e-02+2.847398900485131890e-05j), (-6.300062515856928258e+03+0.000000000000000000e+00j), (-2.054809911016429851e+03+0.000000000000000000e+00j), (4.264511396024438000e+03+0.000000000000000000e+00j)
 (4.949917085468769073e-03+3.771470801439136267e-05j), (-6.210616335971403714e+03+0.000000000000000000e+00j), (-2.486776748556371331e+03+0.000000000000000000e+00j), (5.158879570650110509e+03+0.000000000000000000e+00j)
 (5.700813606381416321e-03+4.407065716804936528e-05j), (-6.072360916523846754e+03+0.000000000000000000e+00j), (-3.157408475456571068e+03+0.000000000000000000e+00j), (6.539472023398353485e+03+0.000000000000000000e+00j)
 (4.993021860718727112e-02+3.474010009085759521e-05j), (-5.916715997944545961e+03+0.000000000000000000e+00j), (-3.910730429604333040e+03+0.000000000000000000e+00j), (8.094359530797569278e+03+0.000000000000000000e+00j)
 (1.417943835258483887e-01+-1.714980385258968454e-06j), (-5.719571022147565600e+03+0.000000000000000000e+00j), (-4.865979468215557063e+03+0.000000000000000000e+00j), (1.006298502103438113e+04+0.000000000000000000e+00j)
 (2.127500921487808228e-01+-5.494082142831757665e-05j), (-5.491937379511510699e+03+0.000000000000000000e+00j), (-5.967604989545098761e+03+0.000000000000000000e+00j), (1.233701175280188545e+04+0.000000000000000000e+00j)
 (1.421003937721252441e-01+-7.607819134136661887e-05j), (-5.235379817234296752e+03+0.000000000000000000e+00j), (-7.205773598795053658e+03+0.000000000000000000e+00j), (1.490149484137279796e+04+0.000000000000000000e+00j)
 (-1.147076785564422607e-01+-1.214532767335185781e-05j), (-4.951098391828196327e+03+0.000000000000000000e+00j), (-8.578780085232592683e+03+0.000000000000000000e+00j), (1.774223518229550973e+04+0.000000000000000000e+00j)
 (-3.690379261970520020e-01+9.753049380378797650e-05j), (-4.640183624404457987e+03+0.000000000000000000e+00j), (-1.008264131949585862e+04+0.000000000000000000e+00j), (2.084827316827982577e+04+0.000000000000000000e+00j)
 (3.771069645881652832e-01+-1.331895509792957455e-05j), (2.624555480255232396e+03+0.000000000000000000e+00j), (7.805741046011598883e+02+0.000000000000000000e+00j), (-1.599224080088934898e+03+0.000000000000000000e+00j)
 (2.537721991539001465e-01+1.065863216354046017e-05j), (5.532463058996861946e+03+0.000000000000000000e+00j), (1.645260346863571613e+03+0.000000000000000000e+00j), (-3.371521718419292483e+03+0.000000000000000000e+00j)
 (2.908754646778106689e-01+3.685980846057645977e-05j), (8.712936157286294474e+03+0.000000000000000000e+00j), (2.596548887904611547e+03+0.000000000000000000e+00j), (-5.307080628984939722e+03+0.000000000000000000e+00j)
 (3.006332516670227051e-01+-4.453869769349694252e-05j), (-9.106902588672843194e+03+0.000000000000000000e+00j), (-2.459770191437288759e+03+0.000000000000000000e+00j), (5.114157940037496701e+03+0.000000000000000000e+00j)
 (2.530872821807861328e-01+-4.641429404728114605e-05j), (-1.011037837950391622e+04+0.000000000000000000e+00j), (-2.255575290100836355e+03+0.000000000000000000e+00j), (4.696577890395403301e+03+0.000000000000000000e+00j)
 (-2.838390320539474487e-02+3.720714630617294461e-06j), (-1.156056363066661652e+04+0.000000000000000000e+00j), (-1.970074190318715409e+03+0.000000000000000000e+00j), (4.088487744647800810e+03+0.000000000000000000e+00j)
 (-3.140688538551330566e-01+5.310004780767485499e-05j), (-1.340690553552663914e+04+0.000000000000000000e+00j), (-1.599764574539213754e+03+0.000000000000000000e+00j), (3.317565681283721915e+03+0.000000000000000000e+00j)
 (-1.147633418440818787e-01+-2.384348772466182709e-05j), (-1.561794657993803958e+04+0.000000000000000000e+00j), (-1.155557069786136708e+03+0.000000000000000000e+00j), (2.394762565758061100e+03+0.000000000000000000e+00j)
